order_id,sku,customer_id,order_date,quantity,unit_price,discount_percent,payment_method,order_status,store_city,gross_amount,discount_amount,net_amount
1,189870341-712-2,4174,4/28/2025,3,3311,0,Credit Card,DELIVERED,Kolkata,9933,0,9933
2,189870341-712-2,4507,3/6/2025,4,3311,20,COD,SHIPPED,Mumbai,13244,2648.8,10595.2
3,169630016-044-1,1860,5/26/2025,2,5801,15,Net Banking,SHIPPED,Bhubaneswar,11602,1740.3,9861.7
4,186626958-330-2,2294,6/26/2025,3,2315,15,Credit Card,PLACED,Mumbai,6945,1041.75,5903.25
5,162799308-500-1,2130,1/11/2025,1,5801,20,UPI,SHIPPED,Bengaluru,5801,1160.2,4640.8
6,169630016-044-1,2095,3/26/2025,1,5801,15,Debit Card,CANCELLED,Bengaluru,5801,870.15,4930.85
7,184208283-330-54,4772,1/26/2025,3,2481,15,UPI,SHIPPED,Chennai,7443,1116.45,6326.55
8,189870341-712-2,4092,3/4/2025,3,3311,15,Debit Card,DELIVERED,Bhubaneswar,9933,1489.95,8443.05
9,186626958-330-2,2638,3/27/2025,1,2315,5,Debit Card,DELIVERED,Ahmedabad,2315,115.75,2199.25
10,186626958-330-2,3169,2/28/2025,2,2315,20,Credit Card,SHIPPED,Chennai,4630,926,3704
11,186626958-330-2,1466,1/27/2025,4,2315,15,Credit Card,DELIVERED,Kolkata,9260,1389,7871
12,184208283-330-54,2238,6/26/2025,2,2481,20,UPI,PLACED,Chennai,4962,992.4,3969.6
13,189870341-712-2,1330,6/10/2025,3,3311,10,Debit Card,PLACED,New Delhi,9933,993.3,8939.7
14,189870341-712-2,2482,4/8/2025,2,3311,10,UPI,PLACED,Bengaluru,6622,662.2,5959.8
15,162799308-500-1,3135,4/15/2025,1,5801,15,Net Banking,DELIVERED,Bengaluru,5801,870.15,4930.85
16,184208283-330-54,4444,4/9/2025,3,2481,20,UPI,SHIPPED,Bhubaneswar,7443,1488.6,5954.4
17,169630016-044-1,4171,5/9/2025,4,5801,20,COD,DELIVERED,New Delhi,23204,4640.8,18563.2
18,186626958-330-2,3919,5/29/2025,1,2315,20,UPI,DELIVERED,Gurgaon,2315,463,1852
19,186626958-330-2,4735,2/24/2025,1,2315,5,COD,SHIPPED,Gurgaon,2315,115.75,2199.25
20,162799308-500-1,1130,1/6/2025,4,5801,10,COD,DELIVERED,Gurgaon,23204,2320.4,20883.6
21,186626958-330-2,2685,4/5/2025,4,2315,20,COD,DELIVERED,Bhubaneswar,9260,1852,7408
22,169630016-044-1,4380,5/13/2025,2,5801,20,Net Banking,PLACED,Gurgaon,11602,2320.4,9281.6
23,169630016-044-1,1769,4/12/2025,3,5801,5,UPI,SHIPPED,Mumbai,17403,870.15,16532.85
24,162799308-500-1,3391,1/3/2025,4,5801,5,UPI,DELIVERED,Chennai,23204,1160.2,22043.8
25,186626958-330-2,2515,1/23/2025,4,2315,20,Net Banking,SHIPPED,Gurgaon,9260,1852,7408
26,186626958-330-2,4485,2/22/2025,3,2315,0,Debit Card,DELIVERED,Bengaluru,6945,0,6945
27,169630016-044-1,3853,6/14/2025,4,5801,20,Credit Card,SHIPPED,New Delhi,23204,4640.8,18563.2
28,189870341-712-2,3433,3/24/2025,4,3311,20,UPI,SHIPPED,Bhubaneswar,13244,2648.8,10595.2
29,184208283-330-54,2215,5/25/2025,2,2481,5,Credit Card,PLACED,Mumbai,4962,248.1,4713.9
30,189870341-712-2,1955,3/26/2025,1,3311,5,Net Banking,SHIPPED,Gurgaon,3311,165.55,3145.45
31,184208283-330-54,3324,3/19/2025,1,2481,20,Debit Card,DELIVERED,Bengaluru,2481,496.2,1984.8
32,189870341-712-2,2184,4/20/2025,1,3311,20,Debit Card,SHIPPED,Ahmedabad,3311,662.2,2648.8
33,162799308-500-1,1459,1/1/2025,1,5801,20,Debit Card,DELIVERED,Gurgaon,5801,1160.2,4640.8
34,162799308-500-1,4385,2/20/2025,4,5801,5,Net Banking,DELIVERED,Chennai,23204,1160.2,22043.8
35,184208283-330-54,1021,6/22/2025,3,2481,20,COD,DELIVERED,New Delhi,7443,1488.6,5954.4
36,184208283-330-54,3300,1/4/2025,3,2481,20,COD,DELIVERED,New Delhi,7443,1488.6,5954.4
37,184208283-330-54,1747,4/23/2025,2,2481,15,Credit Card,SHIPPED,Gurgaon,4962,744.3,4217.7
38,162799308-500-1,3904,2/1/2025,2,5801,0,COD,SHIPPED,Kolkata,11602,0,11602
39,189870341-712-2,4632,2/3/2025,4,3311,10,COD,DELIVERED,Bhubaneswar,13244,1324.4,11919.6
40,162799308-500-1,1474,4/2/2025,3,5801,0,Debit Card,SHIPPED,Ahmedabad,17403,0,17403
41,189870341-712-2,2082,4/5/2025,3,3311,15,Debit Card,DELIVERED,Kolkata,9933,1489.95,8443.05
42,189870341-712-2,3558,3/13/2025,1,3311,10,Credit Card,PLACED,Kolkata,3311,331.1,2979.9
43,184208283-330-54,4753,2/8/2025,4,2481,20,UPI,DELIVERED,Gurgaon,9924,1984.8,7939.2
44,162799308-500-1,3047,6/3/2025,4,5801,15,Credit Card,DELIVERED,Gurgaon,23204,3480.6,19723.4
45,189870341-712-2,4547,6/11/2025,1,3311,20,Credit Card,DELIVERED,Mumbai,3311,662.2,2648.8
46,189870341-712-2,3747,4/28/2025,4,3311,5,Net Banking,DELIVERED,Bhubaneswar,13244,662.2,12581.8
47,162799308-500-1,1975,1/3/2025,4,5801,15,Net Banking,DELIVERED,Bhubaneswar,23204,3480.6,19723.4
48,184208283-330-54,2806,5/3/2025,2,2481,5,Credit Card,DELIVERED,Gurgaon,4962,248.1,4713.9
49,184208283-330-54,1189,2/19/2025,3,2481,15,Credit Card,DELIVERED,Kolkata,7443,1116.45,6326.55
